character,pinyin,gloss,our_render,shuowen_headword,matched_by,shuowen_section,construction,fanqie_middle_chinese,semantic_parts,phonetic_parts,occurrences,tier,centrality,shuowen_definition_chinese,shuowen_definition_english
修,Xiū,,,修,exact,彡,phonetic-compound,,彡 (shān = fine hair; ornamental strokes),攸 (? = not yet glossed),5,,0.0194,飾也。从彡攸聲。,
濁,zhuó,,,濁,exact,水,phonetic-compound,,水 (shuǐ = water),蜀 (shǔ = a caterpillar),2,,0.0187,水。出齊郡厲嬀山，東北入鉅定。从水蜀聲。,
辯,biàn,,,辯,exact,辡,compound,,言 (yán = ) + 在 (zài = place in) + 辡 (? = not yet glossed) + 之 (zhī = it) + 閒 (? = not yet glossed),,3,,0.0187,治也。从言在辡之閒。,
交,jiāo,,,交,exact,交,compound,,大 (dà = ),,2,,0.0185,交脛也。从大，象交形。凡交之屬皆从交。,
制,zhì,System/Administrator,,制,exact,刀,compound,,刀 (dāo = a knife) + 未 (wèi = ),,2,,0.0185,裁也。从刀从未。未，物成有滋味，可裁斷。一曰止也。,
哀,āi,grief,,哀,exact,口,phonetic-compound,,口 (kǒu = mouths),衣 (Yī = not yet glossed),2,,0.0185,閔也。从口衣聲。,
孤,gū,,,孤,exact,子,phonetic-compound,,子 (zǐ = not yet glossed),瓜 (? = not yet glossed),2,,0.0185,無父也。从子瓜聲。,
張,zhāng,,,張,exact,弓,phonetic-compound,,弓 (gōng = not yet glossed),長 (cháng = ),2,,0.0185,施弓弦也。从弓長聲。,
戶,hù,doors,,戶,exact,戶,pictograph,,,,2,,0.0185,護也。半門曰戶。象形。凡戶之屬皆从戶。,
扔,rēng,,,扔,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),乃 (nǎi = leads to),2,,0.0185,因也。从手乃聲。,
數,shù,,,數,exact,攴,phonetic-compound,,攴 (pū = a hand striking — action done to something),婁 (? = not yet glossed),2,,0.0185,計也。从攴婁聲。,
淡,dàn,,,淡,exact,水,phonetic-compound,,水 (shuǐ = water),炎 (? = not yet glossed),2,,0.0185,薄味也。从水炎聲。,
牖,yǒu,windows,,牖,exact,片,compound,,片 (? = not yet glossed),,2,,0.0185,穿壁以木爲交窻也。从片、戶、甫。譚長以爲：甫上日也，非戶也。牖，所以見日。,
甲,jiǎ,,,甲,exact,甲,compound,,木 (mù = not yet glossed) + 戴 (? = not yet glossed) + 孚 (? = not yet glossed) + 甲 (jiǎ = not yet glossed) + 之 (zhī = it) + 象 (xiàng = ),,2,,0.0185,東方之孟，陽气萌動，从木戴孚甲之象。一曰人頭宐爲甲，甲象人頭。凡甲之屬皆从甲。,
臣,chén,,,臣,exact,臣,pictograph,,,,2,,0.0185,牽也。事君也。象屈服之形。凡臣之屬皆从臣。,
首,shǒu,head/front,,首,exact,首,pictograph,,,,2,,0.0185,𦣻同。古文𦣻也。巛象髪，謂之鬊，鬊卽巛也。凡𩠐之屬皆从𩠐。,
寵,Chǒng,,,寵,exact,宀,phonetic-compound,,宀 (mián = a roof; under a house),龍 (? = not yet glossed),4,,0.0181,尊居也。从宀龍聲。,
察,chá,,,察,exact,宀,compound,,宀 (mián = a roof; under a house),,4,,0.0179,覆也。从宀、祭。,
悶,mèn,,,悶,exact,心,phonetic-compound,,心 (xīn = heart),門 (mén = ),4,,0.0179,懣也。从心門聲。,
代,dài,,,代,exact,人,phonetic-compound,,人 (rén = ),弋 (yì = a stake; a tethered arrow),3,,0.0178,更也。从人弋聲。,
滋,zī,,,滋,exact,水,phonetic-compound,,水 (shuǐ = water),兹 (? = not yet glossed),3,,0.0178,益也。从水兹聲。一曰滋水，出牛飲山白陘谷，東入呼沱。,
二,èr,,,二,exact,二,compound,,偶 (? = not yet glossed) + 一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,3,,0.0176,地之數也。从偶一。凡二之屬皆从二。,
俗,Sú,,,俗,exact,人,phonetic-compound,,人 (rén = ),谷 (Gǔ = ),3,,0.0176,習也。从人谷聲。,
克,kè,,,克,exact,克,pictograph,,,,2,,0.0176,肩也。象屋下刻木之形。凡克之屬皆从克。,
奉,fèng,,,奉,exact,𠬞,phonetic-compound,,手 (shǒu = not yet glossed) + 廾 (gǒng = two hands raised together),𡴀 (? = not yet glossed),2,,0.0176,承也。从手从廾，𡴀聲。,
徐,xú,slowly,,徐,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),"余 (yú = a shelter; and, borrowed, 'I')",2,,0.0176,安行也。从彳余聲。,
政,zhèng,in governing,,政,exact,攴,phonetic-compound,,攴 (pū = a hand striking — action done to something) + 正 (zhèng = not yet glossed),正 (zhèng = not yet glossed),3,,0.0176,正也。从攴从正，正亦聲。,
缺,quē,,,缺,exact,缶,phonetic-compound,,缶 (fǒu = an earthenware jar),決 (? = not yet glossed),3,,0.0176,器破也。从缶，決省聲。,
虎,hǔ,,,虎,exact,虎,compound,,虍 (? = not yet glossed),,2,,0.0176,山獸之君。从虍，虎足象人足。象形。凡虎之屬皆从虎。,
來,lái,,,來,exact,來,pictograph,,,,2,,0.0174,周所受瑞麥來麰。一來二縫，象芒朿之形。天所來也，故爲行來之來。《詩》曰：“詒我來麰。”凡來之屬皆从來。,
宗,zōng,,,宗,exact,宀,compound,,宀 (mián = a roof; under a house) + 示 (shì = not yet glossed),,2,,0.0174,尊祖廟也。从宀从示。,
屈,qū,,,屈,exact,尾,phonetic-compound,,尾 (wěi = a tail),出 (chū = emerge),2,,0.0174,無尾也。从尾出聲。,
攘,rǎng,,,攘,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),襄 (? = not yet glossed),2,,0.0174,推也。从手襄聲。,
昧,mèi,dark/obscure,,昧,exact,日,phonetic-compound,,日 (rì = day),未 (wèi = ),2,,0.0174,爽，旦明也。从日未聲。一曰闇也。,
發,fā,,,發,exact,弓,phonetic-compound,,弓 (gōng = not yet glossed),癹 (? = not yet glossed),2,,0.0174,䠶發也。从弓癹聲。,
臂,bì,,,臂,exact,肉,phonetic-compound,,肉 (ròu = flesh),辟 (? = not yet glossed),2,,0.0174,手上也。从肉辟聲。,
臺,tái,,,臺,exact,至,compound,,至 (zhì = not yet glossed) + 之 (zhī = it) + 高 (gāo = not yet glossed),,2,,0.0174,觀，四方而高者。从至从之，从高省。與室屋同意。,
起,qǐ,,,起,exact,走,phonetic-compound,,走 (zǒu = not yet glossed),巳 (sì = a curled form — the sixth earthly branch),2,,0.0174,能立也。从走巳聲。,
捨,shě,,,捨,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),舍 (? = not yet glossed),3,,0.0167,釋也。从手舍聲。,
契,qì,,,契,exact,大,compound,,大 (dà = ) + 㓞 (? = not yet glossed),,2,,0.0165,大約也。从大从㓞。《易》曰：“後代聖人易之以書契。”,
歙,xì,,,歙,exact,欠,phonetic-compound,,"欠 (qiàn = a person with the mouth open — breath, wanting)",翕 (? = not yet glossed),3,,0.0165,縮鼻也。从欠翕聲。丹陽有歙縣。,
甫,fǔ,origin/father,,甫,exact,用,phonetic-compound,,用 (yòng = use),父 (fù = not yet glossed),2,,0.0165,男子美稱也。从用、父，父亦聲。,
剛,gāng,,,剛,exact,刀,phonetic-compound,,刀 (dāo = a knife),岡 (? = not yet glossed),2,,0.0163,彊斷也。从刀岡聲。,
廢,fèi,abandoned/abolished,,廢,exact,广,phonetic-compound,,广 (yǎn = a shelter built against a bank),發 (fā = not yet glossed),2,,0.0163,屋頓也。从广發聲。,
忠,zhōng,loyalty,loyalty,忠,exact,心,phonetic-compound,,心 (xīn = heart),中 (zhōng = not yet glossed),2,locked,0.0163,敬也。从心中聲。,
搏,Bó,Grasping/reaching for,,搏,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),尃 (? = not yet glossed),2,,0.0163,索持也。一曰至也。从手尃聲。,
榮,róng,,,榮,exact,木,phonetic-compound,,木 (mù = not yet glossed),熒 (? = not yet glossed),2,,0.0163,桐木也。从木，熒省聲。一曰屋梠之兩頭起者爲榮。,
毒,dú,,,毒,exact,屮,compound,徒沃切,屮 (? = not yet glossed) + 毐 (? = not yet glossed),,2,,0.0163,厚也。害人之艸，往往而生。从屮从毐。,
甘,gān,,,甘,exact,甘,compound,,口 (kǒu = mouths) + 含 (Hán = not yet glossed) + 一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,2,,0.0163,美也。从口含一。一，道也。凡甘之屬皆从甘。,
疏,shū,,,疏,exact,𠫓,phonetic-compound,,𡿮 (? = not yet glossed) + 疋 (? = not yet glossed),疋 (? = not yet glossed),2,,0.0163,通也。从𡿮从疋，疋亦聲。,
輜,zī,,,輜,exact,車,phonetic-compound,,車 (chē = not yet glossed),甾 (? = not yet glossed),1,,0.0163,軿車前，衣車後也。从車甾聲。,
迷,mí,confused/lost,,迷,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",米 (mǐ = grains of rice),2,,0.0163,或也。从辵米聲。,
遂,suì,,,遂,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",㒸 (? = not yet glossed),2,,0.0163,亾也。从辵㒸聲。,
除,chú,clearing,,除,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed),"余 (yú = a shelter; and, borrowed, 'I')",2,,0.0163,殿陛也。从𨸏余聲。,
雌,cí,,,雌,exact,隹,phonetic-compound,,隹 (zhuī = a short-tailed bird),此 (Cǐ = this),2,,0.0163,鳥母也。从隹此聲。,
驕,jiāo,,,驕,exact,馬,phonetic-compound,,馬 (mǎ = not yet glossed),喬 (? = not yet glossed),2,,0.0163,馬高六尺爲驕。从馬喬聲。《詩》曰：“我馬唯驕。”一曰野馬。,
勿,wù,do not,,勿,exact,勿,pictograph,,,,4,,0.0159,州里所建旗。象其柄，有三游。雜帛，幅半異。所以趣民，故遽，稱勿勿。凡勿之屬皆从勿。,
儉,jiǎn,,,儉,exact,人,phonetic-compound,,人 (rén = ),僉 (? = not yet glossed),3,,0.0157,約也。从人僉聲。,
兌,duì,,,兌,exact,-{儿}-,unanalysed,,,,3,,0.0154,說也。从-{儿}-㕣聲。,
室,shì,,,室,exact,宀,compound,,宀 (mián = a roof; under a house) + 至 (zhì = not yet glossed),,2,,0.0154,實也。从宀从至。至，所止也。,
己,jǐ,,,己,exact,己,pictograph,,,,2,,0.0154,中宮也。象萬物辟藏詘形也。己承戊，象人腹。凡己之屬皆从己。,
補,bǔ,,,補,exact,衣,phonetic-compound,,衣 (Yī = not yet glossed),甫 (fǔ = origin/father),2,,0.0154,完衣也。从衣甫聲。,
孝,xiào,devotion,devotion,孝,exact,老,compound,,老 (lǎo = age/decay) + 子 (zǐ = not yet glossed),,2,locked,0.0152,善事父母者。从老省，从子。子承老也。,
聽,Tīng,Listening to,,聽,exact,耳,phonetic-compound,,耳 (ěr = ears),壬 (? = not yet glossed),2,,0.0152,聆也。从耳、㥁，壬聲。,
襲,xí,inheriting/wearing,,襲,exact,衣,phonetic-compound,,衣 (Yī = not yet glossed),龖 (? = not yet glossed),2,,0.0152,左衽袍。从衣，龖省聲。,
曲,Qū,bend / bent,bend / bent,曲,exact,曲,pictograph,,,,2,locked,0.0143,象器曲受物之形。或說曲，蠶薄也。凡曲之屬皆从曲。,
狗,gǒu,,,狗,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),句 (? = not yet glossed),2,,0.0143,孔子曰：“狗，叩也。叩气吠以守。”从犬句聲。,
稽,jī,,,稽,exact,稽,phonetic-compound,,𥝌 (? = not yet glossed) + 尤 (yóu = blame/fault),旨 (? = not yet glossed),2,,0.0143,畱止也。从𥝌从尤，旨聲。凡稽之屬皆从稽。,
笑,xiào,,,笑,exact,竹,unanalysed,,,,2,,0.0143,此字本闕。,
芻,chú,,,芻,exact,艸,pictograph,,,,2,,0.0143,刈艸也。象包束艸之形。,
什,shí,,,什,exact,人,compound,,人 (rén = ),,1,,0.0141,相什保也。从人、十。,
伯,bǎi,,,伯,exact,人,phonetic-compound,,人 (rén = ),白 (bái = white/light),1,,0.0141,長也。从人白聲。,
又,yòu,,,又,exact,又,pictograph,,,,2,,0.0141,手也。象形。三指者，手之𠛱多略不過三也。凡又之屬皆从又。,
壯,zhuàng,reaching peak strength,,壯,exact,士,phonetic-compound,側亮切,士 (shì = scholars/officers),爿 (? = not yet glossed),2,,0.0141,大也。从士爿聲。,
宰,zǎi,but not dominating/ruling,,宰,exact,宀,compound,,宀 (mián = a roof; under a house) + 辛 (? = not yet glossed),,2,,0.0141,辠人在屋下執事者。从宀从辛。辛，辠也。,
實,shí,,,實,exact,宀,compound,,宀 (mián = a roof; under a house) + 貫 (? = not yet glossed),,2,,0.0141,富也。从宀从貫。貫，貨貝也。,
懷,huái,,,懷,exact,心,phonetic-compound,,心 (xīn = heart),褱 (? = not yet glossed),1,,0.0141,念思也。从心褱聲。,
推,tuī,,,推,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),隹 (zhuī = a short-tailed bird),1,,0.0141,排也。从手隹聲。,
攻,gōng,,,攻,exact,攴,phonetic-compound,,攴 (pū = a hand striking — action done to something),"工 (gōng = a carpenter's square — work, craft)",1,,0.0141,擊也。从攴工聲。,
楗,jiàn,,,楗,exact,木,phonetic-compound,,木 (mù = not yet glossed),建 (jiàn = not yet glossed),1,,0.0141,限門也。从木建聲。,
没,Mò,,,沒,orthographic,水,compound,,水 (shuǐ = water) + 𠬸 (? = not yet glossed),,2,,0.0141,沈也。从水从𠬸。,
示,shì,,,示,exact,示,compound,,𠄞 (? = not yet glossed),,1,,0.0141,天垂象，見吉凶，所以示人也。从𠄞，,
約,yuē,,,約,exact,糸,phonetic-compound,,糸 (mì = silk thread),勺 (? = not yet glossed),1,,0.0141,纏束也。从糸勺聲。,
草,cǎo,,,草,exact,艸,phonetic-compound,,"艸 (cǎo = grass, growing plants)",早 (zǎo = not yet glossed),1,,0.0141,草斗，櫟實也。一曰象斗子。从艸早聲。,
褐,hè,,,褐,exact,衣,phonetic-compound,,衣 (Yī = not yet glossed),曷 (? = not yet glossed),1,,0.0141,編枲韤。一曰粗衣。从衣曷聲。,
貞,zhēn,,,貞,exact,卜,compound,,卜 (? = not yet glossed),,1,,0.0141,卜問也。从卜，貝以爲贄。一曰鼎省聲。京房所說。,
辭,cí,,,辭,exact,辛,compound,,𤔔 (? = not yet glossed),,1,,0.0141,訟也。从𤔔，𤔔猶理辜也。𤔔，理也。,
關,guān,,,關,exact,門,phonetic-compound,,門 (mén = ),𢇅 (? = not yet glossed),1,,0.0141,以木橫持門戶也。从門𢇅聲。,
惟,wéi,,,惟,exact,心,phonetic-compound,,心 (xīn = heart),隹 (zhuī = a short-tailed bird),3,,0.0135,凡思也。从心隹聲。,
邦,bāng,,,邦,exact,邑,phonetic-compound,,"邑 (yì = a settlement, a town)",丰 (? = not yet glossed),3,,0.0135,國也。从邑丰聲。,
匠,jiàng,,,匠,exact,匚,compound,,匚 (? = not yet glossed) + 斤 (jīn = an axe),,2,,0.0133,木工也。从匚从斤。斤，所以作器也。,
威,wēi,,,威,exact,女,compound,,女 (nǚ = a woman) + 戌 (? = not yet glossed),,2,,0.0133,姑也。从女从戌。漢律曰：“婦告威姑。”,
斫,zhuó,,,斫,exact,斤,phonetic-compound,,斤 (jīn = an axe),石 (shí = not yet glossed),2,,0.0133,擊也。从斤石聲。,
薄,bó,,,薄,exact,艸,phonetic-compound,,"艸 (cǎo = grass, growing plants)",溥 (? = not yet glossed),2,,0.0133,林薄也。一曰蠶薄。从艸溥聲。,
資,zī,raw material/resource,,資,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",次 (cì = not yet glossed),2,,0.0133,貨也。从貝次聲。,
丈,zhàng,,,丈,exact,十,compound,,又 (yòu = not yet glossed) + 持 (Chí = Holding/grasping) + 十 (shí = not yet glossed),,1,,0.013,十尺也。从又持十。,
兼,jiān,,,兼,exact,秝,compound,,又 (yòu = not yet glossed) + 持 (Chí = Holding/grasping) + 秝 (? = not yet glossed),,1,,0.013,并也。从又持秝。兼持二禾，秉持一禾。,
冰,bīng,ice,,冰,exact,仌,compound,,仌 (bīng = ice) + 水 (shuǐ = water),,1,,0.013,水堅也。从仌从水。,
塞,Sè,,,塞,exact,土,compound,,土 (tǔ = not yet glossed) + 𡨄 (? = not yet glossed),,2,,0.013,隔也。从土从𡨄。,
拱,gǒng,,,拱,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),共 (gòng = share/unite),1,,0.013,斂手也。从手共聲。,
渙,Huàn,Yielding/melting,,渙,exact,水,phonetic-compound,,水 (shuǐ = water),奐 (? = not yet glossed),1,,0.013,流𢿱也。从水奐聲。,
璧,bì,,,璧,exact,玉,phonetic-compound,比激切,玉 (yù = jade),辟 (? = not yet glossed),1,,0.013,瑞玉圜也。从玉，辟聲。,
紛,fēn,,,紛,exact,糸,phonetic-compound,,糸 (mì = silk thread),分 (? = not yet glossed),2,,0.013,馬尾韜也。从糸分聲。,
衣,Yī,,,衣,exact,衣,pictograph,,,,1,,0.013,依也。上曰衣，下曰裳。象覆二人之形。凡衣之屬皆从衣。,
釋,shì,melt/thaw,,釋,exact,釆,phonetic-compound,,釆 (? = not yet glossed),睪 (? = not yet glossed),1,,0.013,解也。从釆；釆，取其分別物也。从睪聲。,
駟,sì,,,駟,exact,馬,phonetic-compound,,馬 (mǎ = not yet glossed),四 (sì = four),1,,0.013,一乘也。从馬四聲。,
肖,xiào,,,肖,exact,肉,phonetic-compound,,肉 (ròu = flesh),小 (xiǎo = small),3,,0.0124,骨肉相似也。从肉小聲。不似其先，故曰“不肖”也。,
受,shòu,,,受,exact,𠬪,phonetic-compound,,𠬪 (? = not yet glossed),舟 (zhōu = not yet glossed),2,,0.0122,相付也。从𠬪，舟省聲。,
寧,níng,,,寧,exact,丂,phonetic-compound,,丂 (? = not yet glossed),寍 (? = not yet glossed),2,,0.0122,願詞也。从丂寍聲。,
華,huá,,,華,exact,華,compound,,"艸 (cǎo = grass, growing plants) + 𠌶 (? = not yet glossed)",,2,,0.0122,榮也。从艸从𠌶。凡華之屬皆从華。,
穀,gǔ,,,穀,exact,禾,phonetic-compound,,禾 (hé = standing grain),𣪊 (? = not yet glossed),2,,0.012,續也。百穀之緫名。从禾𣪊聲。,
均,jūn,equalize/harmonize,,均,exact,土,phonetic-compound,,土 (tǔ = not yet glossed) + 勻 (? = not yet glossed),勻 (? = not yet glossed),1,,0.0119,平徧也。从土从勻，勻亦聲。,
孫,sūn,,,孫,exact,系,compound,,"子 (zǐ = not yet glossed) + 系 (xì = to tie, to connect)",,1,,0.0119,子之子曰孫。从子从系。系，續也。,
手,shǒu,,,手,exact,手,pictograph,,,,1,,0.0119,拳也。象形。凡手之屬皆从手。,
握,wò,,,握,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),屋 (? = not yet glossed),1,,0.0119,搤持也。从手屋聲。,
梁,liáng,,,梁,exact,木,phonetic-compound,,木 (mù = not yet glossed) + 水 (shuǐ = water),刅 (? = not yet glossed),1,,0.0119,水橋也。从木从水，刅聲。,
注,zhù,,,注,exact,水,phonetic-compound,,水 (shuǐ = water),主 (zhǔ = ),1,,0.0119,灌也。从水主聲。,
祀,sì,,,祀,exact,示,phonetic-compound,詳里切,示 (shì = not yet glossed),巳 (sì = a curled form — the sixth earthly branch),1,,0.0119,祭無已也。从示，巳聲。,
祭,jì,,,祭,exact,示,compound,子例切,示 (shì = not yet glossed),,1,,0.0119,祭祀也。从示，以手持肉。,
稅,shuì,,,稅,exact,禾,phonetic-compound,,禾 (hé = standing grain),兌 (duì = not yet glossed),1,,0.0119,租也。从禾兌聲。,
筋,jīn,,,筋,exact,筋,compound,,力 (lì = force) + 肉 (ròu = flesh) + 竹 (zhú = bamboo),,1,,0.0119,肉之力也。从力从肉从竹。竹，物之多筋者。凡筋之屬皆从筋。,
蔽,bì,worn out/concealed,,蔽,exact,艸,phonetic-compound,,"艸 (cǎo = grass, growing plants)",敝 (Bì = Worn out/old),1,,0.0119,蔽蔽，小艸也。从艸敝聲。,
詰,jié,,,詰,exact,言,phonetic-compound,,言 (yán = ),吉 (Jí = not yet glossed),1,,0.0119,問也。从言吉聲。,
負,fù,,,負,exact,貝,compound,,"人 (rén = ) + 守 (shǒu = ) + 貝 (bèi = a cowrie shell — money, worth)",,1,,0.0119,恃也。从人守貝，有所恃也。一曰受貸不償。,
費,fèi,,,費,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",弗 (fú = not yet glossed),1,,0.0119,𢿱財用也。从貝弗聲。,
輔,fǔ,,,輔,exact,車,phonetic-compound,,車 (chē = not yet glossed),甫 (fǔ = origin/father),1,,0.0119,人頰車也。从車甫聲。,
輟,chuò,,,輟,exact,車,phonetic-compound,,車 (chē = not yet glossed),叕 (? = not yet glossed),1,,0.0119,車小缺復合者。从車叕聲。,
陰,yīn,,,陰,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed),侌 (? = not yet glossed),1,,0.0119,闇也。水之南、山之北也。从𨸏侌聲。,
陽,yáng,,,陽,exact,𨸏,phonetic-compound,,𨸏 (? = not yet glossed),昜 (? = not yet glossed),1,,0.0119,高、明也。从𨸏昜聲。,
嗇,sè,,,嗇,exact,嗇,compound,,來 (lái = not yet glossed) + 㐭 (? = not yet glossed),,2,,0.0111,愛瀒也。从來从㐭。來者，㐭而藏之。故田夫謂之嗇夫。凡嗇之屬皆从嗇。,
斯,sī,,,斯,exact,斤,phonetic-compound,,斤 (jīn = an axe),其 (qí = ),2,,0.0111,析也。从斤其聲。《詩》曰：“斧以斯之。”,
飢,jī,,,飢,exact,食,phonetic-compound,,食 (shí = ),"几 (jī = a low table, a stool)",2,,0.0111,餓也。从食几聲。,
鬼,guǐ,,,鬼,exact,鬼,compound,,人 (rén = ) + 厶 (sī = enclosing for oneself — the private),,2,,0.0111,人所歸爲鬼。从人，象鬼頭。鬼陰气賊害，从厶。凡鬼之屬皆从鬼。,
介,jiè,,,介,exact,八,compound,,"八 (bā = eight; to divide, to part) + 人 (rén = )",,1,,0.0108,畫也。从八从人。人各有介。,
伏,fú,,,伏,exact,人,compound,,人 (rén = ) + 犬 (quǎn = not yet glossed),,1,,0.0108,司也。从人从犬。,
倚,yǐ,,,倚,exact,人,phonetic-compound,,人 (rén = ),奇 (jī = not yet glossed),1,,0.0108,依也。从人奇聲。,
共,gòng,share/unite,,共,exact,共,compound,,廿 (? = not yet glossed),,1,,0.0108,同也。从廿、廾。凡共之屬皆从共。,
冬,dōng,,,冬,exact,仌,compound,,仌 (bīng = ice) + 夂 (? = not yet glossed),,1,,0.0108,四時盡也。从仌从夂。夂，古文終字。,
刃,rèn,,,刃,exact,刃,pictograph,,,,1,,0.0108,刀堅也。象刀有刃之形。凡刃之屬皆从刃。,
加,jiā,,,加,exact,力,compound,,力 (lì = force) + 口 (kǒu = mouths),,1,,0.0108,語相增加也。从力从口。,
坐,zuò,,,坐,exact,土,compound,,土 (tǔ = not yet glossed) + 畱 (? = not yet glossed),,1,,0.0108,止也。从土，从畱省。土，所止也。此與畱同意。,
壽,shòu,has true longevity,,壽,exact,老,phonetic-compound,,老 (lǎo = age/decay),𠷎 (? = not yet glossed),1,,0.0108,久也。从老省，𠷎聲。,
奧,ào,,,奧,exact,宀,phonetic-compound,,宀 (mián = a roof; under a house),𢍏 (? = not yet glossed),1,,0.0108,宛也。室之西南隅。从宀𢍏聲。,
市,shì,,,市,exact,冂,phonetic-compound,,"冂 (jiōng = the far borders, open country) + 乁 (? = not yet glossed)",之 (zhī = it),1,,0.0108,買賣所之也。市有垣，从冂从乁，乁，古文及，象物相及也。之省聲。,
懼,jù,,,懼,exact,心,phonetic-compound,,心 (xīn = heart),瞿 (? = not yet glossed),1,,0.0108,恐也。从心瞿聲。,
投,tóu,,,投,exact,手,compound,,手 (shǒu = not yet glossed) + 殳 (? = not yet glossed),,1,,0.0108,擿也。从手从殳。,
攝,shè,,,攝,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),聶 (? = not yet glossed),1,,0.0108,引持也。从手聶聲。,
柢,dǐ,,,柢,exact,木,phonetic-compound,,木 (mù = not yet glossed),氐 (? = not yet glossed),1,,0.0108,木根也。从木氐聲。,
活,huó,,,活,exact,水,phonetic-compound,,水 (shuǐ = water),𠯑 (? = not yet glossed),1,,0.0108,水流聲。从水𠯑聲。,
渾,hún,,,渾,exact,水,phonetic-compound,,水 (shuǐ = water),軍 (jūn = army/campaign),1,,0.0108,混流聲也。从水軍聲。一曰洿下皃。,
爪,zhǎo,,,爪,exact,爪,pictograph,,,,1,,0.0108,丮也。覆手曰爪。象形。凡爪之屬皆从爪。,
父,fù,,,父,exact,又,compound,,又 (yòu = not yet glossed) + 舉 (jǔ = not yet glossed) + 杖 (? = not yet glossed),,1,,0.0108,矩也。家長率教者。从又舉杖。,
爽,shuǎng,dull/spoiled,,爽,exact,㸚,compound,,㸚 (? = not yet glossed) + 大 (dà = ),,1,,0.0108,明也。从㸚从大。,
犬,quǎn,,,犬,exact,犬,pictograph,,,,1,,0.0108,狗之有縣蹏者也。象形。孔子曰：“視犬之字如畫狗也。”凡犬之屬皆从犬。,
盲,máng,blind,,盲,exact,目,phonetic-compound,,目 (mù = eyes),亡 (wáng = perish),1,,0.0108,目無牟子。从目亡聲。,
稱,chēng,,,稱,exact,禾,phonetic-compound,,禾 (hé = standing grain),爯 (? = not yet glossed),1,,0.0108,銓也。从禾爯聲。春分而禾生。日夏至，晷景可度。禾有秒，秋分而秒定。律數：十二秒而當一分，十分而寸。其以爲重：十二粟爲一分，十二分爲一銖。故諸程品皆从禾。,
策,cè,,,策,exact,竹,phonetic-compound,,竹 (zhú = bamboo),朿 (cì = a thorn),1,,0.0108,馬箠也。从竹朿聲。,
籌,chóu,,,籌,exact,竹,phonetic-compound,,竹 (zhú = bamboo),壽 (shòu = has true longevity),1,,0.0108,壺矢也。从竹壽聲。,
聾,lóng,deaf,,聾,exact,耳,phonetic-compound,,耳 (ěr = ears),龍 (? = not yet glossed),1,,0.0108,無聞也。从耳龍聲。,
色,sè,colors,,色,exact,色,compound,,人 (rén = ) + 卪 (? = not yet glossed),,1,,0.0108,顔气也。从人从卪。凡色之屬皆从色。,
號,háo,,,號,exact,号,compound,,号 (? = not yet glossed) + 虎 (hǔ = not yet glossed),,1,,0.0108,呼也。从号从虎。,
角,jiǎo,,,角,exact,角,pictograph,,,,1,,0.0108,獸角也。象形，角與刀、魚相似。凡角之屬皆从角。,
計,jì,calculating/planning,,計,exact,言,compound,,言 (yán = ) + 十 (shí = not yet glossed),,1,,0.0108,會也。筭也。从言从十。,
誰,shuí,,,誰,exact,言,phonetic-compound,,言 (yán = ),隹 (zhuī = a short-tailed bird),1,,0.0108,何也。从言隹聲。,
諾,nuò,,,諾,exact,言,phonetic-compound,,言 (yán = ),若 (ruò = ),1,,0.0108,𧭭也。从言若聲。,
譬,Pì,compare,,譬,exact,言,phonetic-compound,,言 (yán = ),辟 (? = not yet glossed),1,,0.0108,諭也。从言辟聲。,
豫,Yù,Hesitant/careful,,豫,exact,象,phonetic-compound,,象 (xiàng = ),予 (? = not yet glossed),1,,0.0108,象之大者。賈侍中說：不害於物。从象予聲。,
輻,fú,spokes,,輻,exact,車,phonetic-compound,,車 (chē = not yet glossed),畐 (? = not yet glossed),1,,0.0108,輪轑也。从車畐聲。,
轂,gǔ,hub,,轂,exact,車,phonetic-compound,,車 (chē = not yet glossed),𣪊 (? = not yet glossed),1,,0.0108,輻所凑也。从車𣪊聲。,
迎,Yíng,Meeting/welcoming,,迎,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",卬 (? = not yet glossed),1,,0.0108,逢也。从辵卬聲。,
